1.1.,Světový den míru
2.1.,Den introvertů
2.1.,Den Science Fiction
3.1.,Mezinárodní den duševního a tělesného zdraví
4.1.,Světový den Braillova písma
5.1.,Den ptactva
6.1.,Den tulení se
7.1.,Pravoslavné Vánoce
8.1.,Den bublinkové koupele
9.1.,Den ocenění vymáhání práva
10.1.,Den ocenění pokojových rostlin
11.1.,Den úklidu vašeho stolu
12.1.,Den marcipánu
13.1.,Den bez lepku
14.1.,Den logiky
15.1.,Den jahodové zmrzliny
16.1.,Den ničeho
17.1.,Den občanských práv
18.1.,Den synonymického slovníku
19.1.,Den popcornu
20.1.,Den milovníků sýrů
21.1.,Den objímání
22.1.,Den oslavy života
23.1.,Den koláčů
24.1.,Den komplimentů
25.1.,Den opaků
26.1.,Mezinárodní den celníků
27.1.,Mezinárodní den památky obětí Holocaustu a předcházení zločinům proti lidskosti
28.1.,Mezinárodní den mobilizace proti jaderné válce
29.1.,Den zábavy v práci
30.1.,Den croissantů
31.1.,Světový den pomoci malomocným
1.2.,Den černošské historie
2.2.,Světový den mokřadů
3.2.,Světový den modliteb
4.2.,Světový den boje proti rakovině
5.2.,Den dětí v knihovnách
6.2.,Mezinárodní den nulové tolerance ženské obřízce
7.2.,Den mraženého jogurtu
8.2.,Den posílání pohlenic prátelům
9.2.,Den pouštění draků
10.2.,Světový den luštěnin
11.2.,Světový den nemocných
12.2.,Darwinův den
13.2.,Světový den rádia
13.2.,Světový den manželství (2. neděle v únoru)
14.2.,Mezinárodní den darování knih
15.2.,Světový den hrochů
16.2.,Den mandlí
17.2.,Den náhodných skutků laskavosti
18.2.,Den Pluta
19.2.,Mezinárodní den přetahování lanem
20.2.,Světový den sociální spravedlnosti
21.2.,Mezinárodní den mateřského jazyka
22.2.,Evropský den obětí
23.2.,Den banánového chleba
24.2.,Světový den barmanů
25.2.,Den palačinek
26.2.,Den pistácií
27.2.,Světový den nevládních organizací
28.2.,Mezinárodní den povědomí o úrazech z opakovaného přetěžování
1.3.,Mezinárodního dne civilní ochrany
1.3.,Den nulové diskriminace
2.3.,Mezinárodní den boje spisovatelů za mír
3.3.,Světový den divoké přírody
4.3.,Světový den modliteb (1. pátek v březnu)
5.3.,Den úklidu Patrikovy garáže
6.3.,Den jódu
7.3.,Den toho být vyslyšen
8.3.,Mezinárodní den žen
9.3.,Den přenesení se 
10.3.,Mezinárodní den dudáctví
11.3.,Evropský den mozku
11.3.,"Světový den muslimské kultury, míru, dialogu a filmu"
11.3.,Evropský den památky obětem terorismu
12.3.,Den dívčího skautu
13.3.,Den milosrdných Samaritánů 
14.3.,Den pí - Mezinárodní den matematiky
15.3.,Mezinárodní den proti policejní brutalitě
16.3.,Purim (židovský Svátek losů)
17.3.,Den svatého Patrika
18.3.,Mezinárodní den nenávisti
19.3.,Mezinárodní den invalidů
19.3.,Den svatého Josefa
20.3.,Světový den štěstí
21.3.,Světový den Downova syndromu
21.3.,Světový den poezie
21.3.,Mezinárodní den za odstranění rasové diskriminace
22.3.,Světový den vody
23.3.,Světový den meteorologie
24.3.,Světový den boje proti tuberkulóze
24.3.,Mezinárodní den za právo na pravdu o hrubém porušování lidských práv a na důstojnost obětí
25.3.,Mezinárodní den nenarozeného dítěte
25.3.,Mezinárodní den památky obětí otroctví a transatlantického obchodu s otroky
25.3.,Mezinárodní den solidarity se zadržovanými a nezvěstnými členy mírových misí
26.3.,Světový den boje proti epilepsii
27.3.,Světový den divadla
28.3.,Den učitelů v ČR
29.3.,Den den kouře a zrcadel (oslava iluzí)
30.3.,Den lékařů
31.3.,Den voskovek
1.4.,Mezinárodní den ptactva
2.4.,Světový den zvýšení povědomí o autismu
3.4.,Mezinárodní den spodního prádla
4.4.,Mezinárodní den proti nášlapným minám
5.4.,Den knihovníků
6.4.,Mezinárodní den sportu za rozvoj a mír
7.4.,Světový den zdraví
7.4.,Vzpomínka na genocidu ve Rwandě
8.4.,Mezinárodní den Romů
9.4.,Mezinárodní den ASMR 
10.4.,Světový den homeopatie
11.4.,Mezinárodní den solidarity osvobození politických vězňů
11.4.,Světový den Parkinsonovy choroby
12.4.,Mezinárodní den kosmonautiky
13.4.,Mezinárodní den povědomí o funkční neurologické poruše
14.4.,Světový den monitoringu diabetiků
15.4.,Světový den umění
16.4.,Světový den hlasu
17.4.,Světový den hemofilie
18.4.,Mezinárodní den památek a sídel
18.4.,Mezinárodní den radioamatérů
19.4.,Den česneku
20.4.,Světový den marihuany
21.4.,Mezinárodní den proti hluku
22.4.,Mezinárodní den Země
23.4.,Světový den knihy a autorského práva
24.4.,Světový den sdružených měst (poslední neděle v dubnu)
25.4.,Světový den boje proti malárii
26.4.,Světový den duševního vlastnictví
27.4.,Světový den grafiky
28.4.,Světový den bezpečnosti a ochrany zdraví při práci
29.4.,Mezinárodní den tance
30.4.,Mezinárodní den jazzu
1.5.,Svátek práce
2.5.,Mezinárodní den Harryho Pottera
3.5.,Mezinárodní den svobody tisku
4.5.,Mezinárodní den hasičů
5.5.,Mezinárodní den porodních asistentek
5.5.,Mezinárodní den hygieny rukou
6.5.,Mezinárodní den proti dietám
7.5.,Mezinárodní den astronomie
8.5.,"Vzpomínkový den na ty, kdo ztratili svůj život během druhé světové války"
8.5.,Světový den Červeného kříže
8.5.,Den matek (2. neděle v květnu)
9.5.,Den Evropy
10.5.,Světový den lupusu
11.5.,Den recepčních
12.5.,Mezinárodní den podpory nemocných s chronickým únavovým syndromem
13.5.,Světový den koktejlů
14.5.,Světový den pro fair trade (2. sobota v květnu)
15.5.,Mezinárodní den rodiny
16.5.,Mezinárodní den světla
17.5.,Světový den informační společnosti
17.5.,Mezinárodní den proti homofobii
18.5.,Mezinárodní den muzeí
19.5.,Mezinárodní den účetnictví
20.5.,Světový den metrologie
21.5.,Mezinárodní den kachliček
21.5.,Světový den kulturní rozmanitosti
22.5.,Mezinárodní den biologické rozmanitosti
23.5.,Mezinárodní den mléka (4. pondělí v květnu)
24.5.,Evropský den parků
25.5.,Geek Pride Day
25.5.,Ručníkový den
26.5.,Světový den vyder
27.5.,Den ochrany proti slunečnímu záření
28.5.,Světový den her
29.5.,Mezinárodní den příslušníků mírových operací OSN
29.5.,Den koní (poslední neděle v květnu)
30.5.,Světový den roztroušené sklerózy
31.5.,Světový den bez tabáku
1.6.,Mezinárodní den dětí
2.6.,Mezinárodní den prostitutek
3.6.,Evropský den jízdních kol
4.6.,"Mezinárodní den dětí, které se staly obětí agrese"
5.6.,Světový den životního prostředí
6.6.,Světový den škůdců
7.6.,Světový den bezpečnosti potravin
8.6.,Světový den oceánů
9.6.,Mezinárodní den archivů
10.6.,Den založení Anonymních alkoholiků
11.6.,Mezinárodní den žonglování (2. sobota v červnu)
12.6.,Světový den proti dětské práci
13.6.,Mezinárodní den povědomí o albinismu
14.6.,Světový den dárců krve
15.6.,Světový den proti násilí na seniorech
16.6.,Den afrického dítěte
17.6.,Mezinárodní den proti rozšiřování pouští a sucha
18.6.,Autistický den hrdosti
19.6.,Den otců (3. neděle v červnu)
20.6.,Světový den uprchlíků
21.6.,Světový den hudby
21.6.,Mezinárodní den trpaslíků
22.6.,Mezinárodní den bez kalhotek
23.6.,Mezinárodní den vdov
24.6.,Slavnost Narození sv. Jana Křtitele
25.6.,Den námořníků
26.6.,Mezinárodní den boje proti zneužívání drog a nezákonnému obchodování s nimi
26.6.,Mezinárodní den podpory obětem násilí
27.6.,Světový den rybářství
28.6.,Mezinárodní CAPS LOCK den 
29.6.,Mezinárodní den tropů
30.6.,Mezinárodní den asteroidů
1.7.,Mezinárodní den vtipů
2.7.,Světový den UFO
3.7.,Mezinárodní den bez plastových sáčků
4.7.,Den nezávislosti na mase
5.7.,Mezinárodní den objetí zdarma
6.7.,Světový den polibku
7.7.,Globální den odpuštění
8.7.,Národní den videoher
9.7.,Mezinárodní den Skinny Dippingu (druhá sobota v červenci)
10.7.,Evropský den koupáni v řekách (2. neděle v červenci)
11.7.,Světový den populace
12.7.,Národní den jednoduchosti
13.7.,Embrace Your Geekness Day
14.7.,Mezinárodní den alternativ ke spalovnám
15.7.,Světový den dovedností mládeže
16.7.,Den ocenění umělé inteligence
17.7.,Světový den emotikonů :D
18.7.,Mezinárodní den Nelsona Mandely
19.7.,Den městského včelařství
20.7.,Světový den šachu
21.7.,Den pozvání mimozemšťanů k soužití
22.7.,Světový den mozku
23.7.,Národní den kovbojů
24.7.,Mezinárodní den sebepéče
25.7.,Světový den prevence utonutí
26.7.,Den všechno nebo nic 
27.7.,Den skotské
28.7.,Světový den hepatitidy
29.7.,Den ocenění správce systému
30.7.,Mezinárodní den přátelství
31.7.,"Národní den orgasmů (UK, Australia, USA, Canada, the Netherlands)"
1.8.,Světový den rakoviny plic
2.8.,Den suchého zipu
3.8.,Den melounu
4.8.,Mezinárodní den leoparda obláčkového
5.8.,Mezinárodní den piva (první pátek v srpnu)
6.8.,Mezinárodní den boje lékařů za mír
7.8.,Den mořského hada
8.8.,Mezinárodní den ženského orgasmu
9.8.,Mezinárodní den původního obyvatelstva
10.8.,Světový den kaligrafie (druhá středa v srpnu)
11.8.,Den hip hopu
12.8.,Mezinárodní den mládeže
13.8.,Den leváků
14.8.,Světový den ještěrek
15.8.,Den energy drinků
16.8.,Mezinárodní den rumu
17.8.,Den neziskovek
18.8.,Den zmrzlinového dortu
19.8.,Světový den humanitárních pracovníků
20.8.,Světový den komárů
21.8.,Den památky obětí invaze a následné okupace vojsky Varšavské smlouvy
22.8.,Mezinárodní den připomínající oběti násilných činů na základě náboženské víry
23.8.,Mezinárodní den památky obětí obchodu s otroky
24.8.,Mezinárodní den podivné muziky
25.8.,Den burgerů
26.8.,Den psů
27.8.,Mezinárodní den loterie
28.8.,Evropská noc pro netopýry
29.8.,Mezinárodní den proti jaderným zkouškám
30.8.,Mezinárodní den obětí násilného zmizení
31.8.,Mezinárodní den povědomí o předávkování
1.9.,Světový den psaní dopisů
2.9.,Světový den kokosu
3.9.,Světový den vousů (první sobota v září)
4.9.,Světový den sexuálního zdraví
5.9.,Mezinárodní den charity
6.9.,Den boje proti prokrastinaci
7.9.,Den otevřených dvěří památek v ČR
8.9.,Mezinárodní den gramotnosti
9.9.,Evropský den recyklace baterií
10.9.,Světový den prevence sebevražd
11.9.,Den asistovaného bydlení
12.9.,Den programátorů
13.9.,Mezinárodní den čokolády
14.9.,Evropský den židovské kultury
15.9.,Mezinárodní den demokracie
16.9.,Mezinárodní den ochrany ozónové vrstvy
17.9.,Mezinárodní den country hudby
18.9.,Světový den monitorování vod
19.9.,Den pirátů
20.9.,Mezinárodní den štěstí v práci
21.9.,Mezinárodní den Alzheimerovy choroby
22.9.,Mezinárodní den antikoncepce
23.9.,Mezinárodní den neslyšících
24.9.,Světový den Bollywoodu
25.9.,Světový den snů
26.9.,Mezinárodní den kulturního dialogu
27.9.,Světový den turistiky
28.9.,Světový den boje proti vzteklině
29.9.,Světový den srdce
30.9.,Mezinárodní den překladatelů